,ds,yhat,adjusted_yhat
11446,2024-10-28,231.80051072071527,231.80051072071527
11447,2024-10-29,231.80051960093536,231.80051960093536
11448,2024-10-30,231.80052213790424,231.80052213790424
11449,2024-10-31,231.80052203579206,231.80052203579206
11450,2024-11-01,226.2798858025149,226.2798858025149
11451,2024-11-04,226.33951513737136,226.33951513737136
11452,2024-11-05,225.87012157737206,225.87012157737206
11453,2024-11-06,223.39473080560182,223.39473080560182
11454,2024-11-07,223.32050770919145,223.32050770919145
11455,2024-11-08,225.57532867564996,225.57532867564996
